urn,status,checkresult,bpn,check
urn:uuid:014107a4-931a-4b79-9123-11247e347278,TESTED,"[{'id': 'check1', 'name': 'globalAssetId != aasId validation', 'result': 'FAILED'}, {'id': 'check2', 'name': 'Check if correct SemanticID exists', 'result': 'PASSED', 'info': []}, {'id': 'check3', 'name': 'Check if manufacturerId exists in specificAssetIds', 'result': 'FAILED'}, {'id': 'check4', 'name': 'Check if aasID has valid urn uuid format', 'result': 'PASSED'}]",BPNL00000003B0Q0,FAILED
urn:uuid:970d96db-1c7d-41b8-b18c-3b63fb2d52be,NEW,[],BPNL00000003B0Q0,
urn:uuid:a4761e0f-8960-4890-bdd2-441e0925cf9d,NEW,[],BPNL00000003B0Q0,
urn:uuid:c10219f2-534e-4b43-9e4a-472c20be5ec0,NEW,[],BPNL00000003B0Q0,
urn:uuid:a577edcd-6c40-4af3-be86-6bc1731149d5,NEW,[],BPNL00000003B0Q0,
urn:uuid:2649f94c-e026-405a-87db-1f29d87f7624,NEW,[],BPNL00000003B0Q0,
urn:uuid:3d60633e-e366-48b0-b3e7-7037277213d6,NEW,[],BPNL00000003B0Q0,
urn:uuid:5ad6c0e5-e90d-44a0-ac8f-c175a4d195d1,NEW,[],BPNL00000003B0Q0,
urn:uuid:9da381ab-e44b-4228-8b54-c01c8d8e103b,NEW,[],BPNL00000003B0Q0,
urn:uuid:0fec8e16-483a-4f33-9880-682d0050abed,NEW,[],BPNL00000003B0Q0,
urn:uuid:a033300b-306d-4be3-b705-f277e3c27f84,NEW,[],BPNL00000003B0Q0,
urn:uuid:efee3be0-ec52-4b5c-b8a5-f03e9c5b8839,NEW,[],BPNL00000003B0Q0,
urn:uuid:5caf2dde-cb4a-4a27-8729-c8638f874a0f,NEW,[],BPNL00000003B0Q0,
urn:uuid:4a21e616-ef88-4624-945e-6043d2e11129,NEW,[],BPNL00000003B0Q0,
urn:uuid:788c3e49-d9a9-4f52-be31-f74e2d761976,NEW,[],BPNL00000003B0Q0,
urn:uuid:ae0e5da2-bfb5-4c6c-981a-d85b932b4d5f,NEW,[],BPNL00000003B0Q0,
urn:uuid:72702616-09c5-4f11-a246-2dece1b1f1f6,NEW,[],BPNL00000003B0Q0,
urn:uuid:865cc7a7-33db-486e-9b63-6b37ea9f3359,NEW,[],BPNL00000003B0Q0,
urn:uuid:de438b95-18e5-427d-b44a-048a63a353dd,NEW,[],BPNL00000003B0Q0,
urn:uuid:8a2df587-1df2-4994-97fa-166f62bdc4c3,NEW,[],BPNL00000003B0Q0,
urn:uuid:f825bb6f-fc2d-4ad1-9472-4f5559efb016,NEW,[],BPNL00000003B0Q0,
urn:uuid:5e397818-772e-49c8-b939-1aefd85f0358,NEW,[],BPNL00000003B0Q0,
urn:uuid:1404b29e-5088-4324-9c53-279abc75a4a2,NEW,[],BPNL00000003B0Q0,
urn:uuid:c8119d1c-4764-48b3-9799-7ff0413bdb94,NEW,[],BPNL00000003B0Q0,
urn:uuid:61d80dc0-41d5-459a-99fc-c4e59187d4bb,NEW,[],BPNL00000003B0Q0,
urn:uuid:02bf13e8-ff5f-4dfa-915d-5565d516fd49,NEW,[],BPNL00000003B0Q0,
urn:uuid:bd269318-a936-4a3b-bffa-1911a56ea20a,NEW,[],BPNL00000003B0Q0,
urn:uuid:305e5e34-f3f4-42b8-b51f-a4daca06c464,NEW,[],BPNL00000003B0Q0,
urn:uuid:30f8f63a-6792-4f1f-9304-0d1e8dcb4a5e,NEW,[],BPNL00000003B0Q0,
urn:uuid:b3871170-ff76-4092-94f5-6dfc671d196c,NEW,[],BPNL00000003B0Q0,
urn:uuid:4bd84b76-215e-44b1-a3e9-0875458bc02b,NEW,[],BPNL00000003B0Q0,
urn:uuid:e1f74f50-823b-4ff6-a50a-8bf2f0d747a2,NEW,[],BPNL00000003B0Q0,
urn:uuid:663bf627-3c38-4b12-8539-aa8f915a2c5d,NEW,[],BPNL00000003B0Q0,
urn:uuid:2b489f64-03c7-496d-957f-d13fc39398e8,NEW,[],BPNL00000003B0Q0,
urn:uuid:802ae80a-6e5d-40a8-b230-28d979e6e7a0,NEW,[],BPNL00000003B0Q0,
urn:uuid:96c65cf3-e582-4427-830c-7e2f42ef17b8,NEW,[],BPNL00000003B0Q0,
urn:uuid:ef006210-fafc-4973-9c3e-6599fae225f2,NEW,[],BPNL00000003B0Q0,
urn:uuid:98f4e10b-99f9-409e-bc5b-063261ec6bda,NEW,[],BPNL00000003B0Q0,
urn:uuid:9235eb2d-3265-4308-9de0-ac7cf1f208e3,NEW,[],BPNL00000003B0Q0,
urn:uuid:b06c957b-2e0b-47e6-8050-5d19e1805ea1,NEW,[],BPNL00000003B0Q0,
urn:uuid:b7c54b8e-43ae-41ca-8e3c-f3ecef94fc3c,NEW,[],BPNL00000003B0Q0,
urn:uuid:95dbeb76-cd85-4759-9bc2-d98f8361f695,NEW,[],BPNL00000003B0Q0,
urn:uuid:3ba1a136-e32f-4cea-92d5-7e528ffd434a,NEW,[],BPNL00000003B0Q0,
urn:uuid:4aa51555-619e-41ef-99e8-2ff246a2e82a,NEW,[],BPNL00000003B0Q0,
urn:uuid:ece4ecc2-5daf-4b78-b107-8f9299d80a83,NEW,[],BPNL00000003B0Q0,
urn:uuid:fddf80f4-158d-41fe-8f41-2a63ed4faa28,NEW,[],BPNL00000003B0Q0,
